Matcher<CXXBaseSpecifier>	cxxBaseSpecifier	Matcher<CXXBaseSpecifier>...
Matcher<Stmt>	cxxThrowExpr	Matcher<CXXThrowExpr>...
Matcher<Stmt>	cxxTryStmt	Matcher<CXXTryStmt>...
Matcher<Stmt>	cxxUnresolvedConstructExpr	Matcher<CXXUnresolvedConstructExpr>...
Matcher<Stmt>	declRefExpr	Matcher<DeclRefExpr>...
Matcher<Stmt>	declStmt	Matcher<DeclStmt>...
Matcher<Stmt>	defaultStmt	Matcher<DefaultStmt>...
Matcher<Stmt>	dependentCoawaitExpr	Matcher<DependentCoawaitExpr>...
Matcher<Stmt>	designatedInitExpr	Matcher<DesignatedInitExpr>...
Matcher<Stmt>	doStmt	Matcher<DoStmt>...
Matcher<Stmt>	explicitCastExpr	Matcher<ExplicitCastExpr>...
Matcher<Stmt>	expr	Matcher<Expr>...
Matcher<Stmt>	exprWithCleanups	Matcher<ExprWithCleanups>...
Matcher<Stmt>	fixedPointLiteral	Matcher<FixedPointLiteral>...
Matcher<Stmt>	floatLiteral	Matcher<FloatingLiteral>...
Matcher<Stmt>	forStmt	Matcher<ForStmt>...
Matcher<Stmt>	genericSelectionExpr	Matcher<GenericSelectionExpr>...
Matcher<Stmt>	gnuNullExpr	Matcher<GNUNullExpr>...
Matcher<Stmt>	gotoStmt	Matcher<GotoStmt>...
Matcher<Stmt>	ifStmt	Matcher<IfStmt>...
Matcher<Stmt>	imaginaryLiteral	Matcher<ImaginaryLiteral>...
Matcher<Stmt>	implicitCastExpr	Matcher<ImplicitCastExpr>...
Matcher<Stmt>	implicitValueInitExpr	Matcher<ImplicitValueInitExpr>...
Matcher<Stmt>	initListExpr	Matcher<InitListExpr>...
Matcher<Stmt>	integerLiteral	Matcher<IntegerLiteral>...
Matcher<Stmt>	labelStmt	Matcher<LabelStmt>...
Matcher<Stmt>	lambdaExpr	Matcher<LambdaExpr>...
Matcher<Stmt>	materializeTemporaryExpr	Matcher<MaterializeTemporaryExpr>...
Matcher<Stmt>	memberExpr	Matcher<MemberExpr>...
Matcher<Stmt>	nullStmt	Matcher<NullStmt>...
Matcher<Stmt>	objcCatchStmt	Matcher<ObjCAtCatchStmt>...
Matcher<Stmt>	objcFinallyStmt	Matcher<ObjCAtFinallyStmt>...
Matcher<Stmt>	objcIvarRefExpr	Matcher<ObjCIvarRefExpr>...
Matcher<Stmt>	objcMessageExpr	Matcher<ObjCMessageExpr>...
Matcher<Stmt>	objcThrowStmt	Matcher<ObjCAtThrowStmt>...
Matcher<Stmt>	objcTryStmt	Matcher<ObjCAtTryStmt>...
Matcher<Stmt>	ompExecutableDirective	Matcher<OMPExecutableDirective>...
Matcher<Stmt>	opaqueValueExpr	Matcher<OpaqueValueExpr>...
Matcher<Stmt>	parenExpr	Matcher<ParenExpr>...
Matcher<Stmt>	parenListExpr	Matcher<ParenListExpr>...
Matcher<Stmt>	predefinedExpr	Matcher<PredefinedExpr>...
Matcher<Stmt>	returnStmt	Matcher<ReturnStmt>...
Matcher<Stmt>	stmt	Matcher<Stmt>...
Matcher<Stmt>	stmtExpr	Matcher<StmtExpr>...
Matcher<Stmt>	stringLiteral	Matcher<StringLiteral>...
Matcher<Stmt>	substNonTypeTemplateParmExpr	Matcher<SubstNonTypeTemplateParmExpr>...
Matcher<Stmt>	switchCase	Matcher<SwitchCase>...
Matcher<Stmt>	switchStmt	Matcher<SwitchStmt>...
Matcher<Stmt>	unaryExprOrTypeTraitExpr	Matcher<UnaryExprOrTypeTraitExpr>...
Matcher<Stmt>	unaryOperator	Matcher<UnaryOperator>...
Matcher<Stmt>	unresolvedLookupExpr	Matcher<UnresolvedLookupExpr>...
Matcher<Stmt>	unresolvedMemberExpr	Matcher<UnresolvedMemberExpr>...
Matcher<Stmt>	userDefinedLiteral	Matcher<UserDefinedLiteral>...
Matcher<Stmt>	whileStmt	Matcher<WhileStmt>...
Matcher<TemplateArgumentLoc>	templateArgumentLoc	Matcher<TemplateArgumentLoc>...
Matcher<TemplateArgument>	templateArgument	Matcher<TemplateArgument>...
Matcher<TemplateName>	templateName	Matcher<TemplateName>...
Matcher<TypeLoc>	typeLoc	Matcher<TypeLoc>...
Matcher<Type>	arrayType	Matcher<ArrayType>...
Matcher<Type>	atomicType	Matcher<AtomicType>...
Matcher<Type>	autoType	Matcher<AutoType>...
Matcher<Type>	blockPointerType	Matcher<BlockPointerType>...
Matcher<Type>	builtinType	Matcher<BuiltinType>...
Matcher<Type>	complexType	Matcher<ComplexType>...
Matcher<Type>	constantArrayType	Matcher<ConstantArrayType>...
Matcher<Type>	decayedType	Matcher<DecayedType>...
Matcher<Type>	decltypeType	Matcher<DecltypeType>...
Matcher<Type>	deducedTemplateSpecializationType	Matcher<DeducedTemplateSpecializationType>...
Matcher<Type>	dependentSizedArrayType	Matcher<DependentSizedArrayType>...
Matcher<Type>	elaboratedType	Matcher<ElaboratedType>...
Matcher<Type>	enumType	Matcher<EnumType>...
Matcher<Type>	functionProtoType	Matcher<FunctionProtoType>...
Matcher<Type>	functionType	Matcher<FunctionType>...
Matcher<Type>	incompleteArrayType	Matcher<IncompleteArrayType>...
Matcher<Type>	injectedClassNameType	Matcher<InjectedClassNameType>...
Matcher<Type>	lValueReferenceType	Matcher<LValueReferenceType>...
Matcher<Type>	memberPointerType	Matcher<MemberPointerType>...
Matcher<Type>	objcObjectPointerType	Matcher<ObjCObjectPointerType>...
Matcher<Type>	parenType	Matcher<ParenType>...
Matcher<Type>	pointerType	Matcher<PointerType>...
Matcher<Type>	rValueReferenceType	Matcher<RValueReferenceType>...
Matcher<Type>	recordType	Matcher<RecordType>...
Matcher<Type>	referenceType	Matcher<ReferenceType>...
Matcher<Type>	substTemplateTypeParmType	Matcher<SubstTemplateTypeParmType>...
Matcher<Type>	tagType	Matcher<TagType>...
Matcher<Type>	templateSpecializationType	Matcher<TemplateSpecializationType>...
Matcher<Type>	templateTypeParmType	Matcher<TemplateTypeParmType>...
Matcher<Type>	type	Matcher<Type>...
Matcher<Type>	typedefType	Matcher<TypedefType>...
Matcher<Type>	unaryTransformType	Matcher<UnaryTransformType>...
Matcher<Type>	variableArrayType	Matcher<VariableArrayType>...
